"null"	"Datum"	"Name"	"Ticker"	"Letzter"	"Preis"	"Menge"	"Pos. Veränd."	"Richtung"	"Typ"	"Stop"	"Limit"	"Status"	"Gewinn"	"Gewinn pro Einheit"	"Trail. Stop"	"% Gap"	"Bid"	"Spread"	"Ask"	"Gültigkeit"	"Kommentar"	"Dauer"	"Typ"	"Sektor"	"Börsenplatz"	"Währung"	
""	"21 Juni 2026, 17:16:21"	"SERVICENOW"	"NOW"	"93,85$"	"84,36$"	"-50"	""	"Verkauf"	"Stop"	"84,36$"	""	"Inaktiv"	"-"	"-"	""	"-10,11%"	"93,85"	"0,48%"	"94,30"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 16:59:56"	"NU CLASS A"	"NU"	"12,52$"	"11,40$"	"-200"	""	"Verkauf"	"Stop"	"11,40$"	""	"Inaktiv"	"-"	"-"	""	"-8,95%"	"12,50"	"0,80%"	"12,60"	"Kein Limit"	""	""	"AKT"	"Finanzdienstleistung"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 16:53:41"	"VISA"	"V"	"331,88$"	"294,55$"	"-6"	""	"Verkauf"	"Stop"	"294,55$"	""	"Inaktiv"	"-"	"-"	""	"-11,25%"	"330,00"	"1,16%"	"333,84"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 14:20:00"	"CLOUDFLARE CLASS A"	"NET"	"223,48$"	"183,92$"	"-10"	""	"Verkauf"	"Stop"	"183,92$"	""	"Inaktiv"	"-"	"-"	""	"-17,70%"	"220,25"	"4,27%"	"229,66"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 13:54:29"	"PALO ALTO NETWORKS"	"PANW"	"286,10$"	"238,26$"	"-10"	""	"Verkauf"	"Stop"	"238,26$"	""	"Inaktiv"	"-"	"-"	""	"-16,72%"	"286,10"	"0,59%"	"287,80"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 13:49:54"	"CROWDSTRIKE"	"CRWD"	"676,74$"	"588,50$"	"-6"	""	"Verkauf"	"Stop"	"588,50$"	""	"Inaktiv"	"-"	"-"	""	"-13,04%"	"673,10"	"0,73%"	"678,00"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 13:40:41"	"TAIWAN SEMICONDUCTOR MANUFACTURING"	"TSM"	"442,98$"	"384,66$"	"-10"	""	"Verkauf"	"Stop"	"384,66$"	""	"Inaktiv"	"-"	"-"	""	"-13,17%"	"442,50"	"0,14%"	"443,10"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 13:35:19"	"ARISTA NETWORKS"	"ANET"	"163,21$"	"138,23$"	"-20"	""	"Verkauf"	"Stop"	"138,23$"	""	"Inaktiv"	"-"	"-"	""	"-15,31%"	"160,00"	"2,50%"	"164,00"	"Kein Limit"	""	""	"AKT"	"Telekommunikation"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 13:30:38"	"ADVANCED MICRO DEVICES"	"AMD"	"523,70$"	"419,14$"	"-6"	""	"Verkauf"	"Stop"	"419,14$"	""	"Inaktiv"	"-"	"-"	""	"-19,97%"	"523,40"	"0,11%"	"524,00"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 12:01:40"	"BLOCK CLASS A"	"XYZ"	"75,68$"	"64,49$"	"-50"	""	"Verkauf"	"Stop"	"64,49$"	""	"Inaktiv"	"-"	"-"	""	"-14,79%"	"75,50"	"0,99%"	"76,25"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"17 Juni 2026, 15:42:53"	"AMAZON"	"AMZN"	"234,50$"	"230,09$"	"-10"	""	"Verkauf"	"Stop"	"230,09$"	""	"Pending"	"-"	"-"	""	"-1,88%"	"234,50"	"0,13%"	"234,80"	"Kein Limit"	""	""	"AKT"	"Gebrauchsgüter"	"NASDAQ ETH"	"USD"	

